X1,B.Galloway,B.White,D.Shorthorn,N.d.Shorthorn,R.R.Devon,Dexter,Galloway,Gloucester,Guernsey,Highland,I.Moiled,L.Red,Longhorn,Luing,Red.P,Shetland,Vaynol,W.Park,W.Shorthorn
1. Ne,4.8,1.7,0.2,0.2,12.0,5.9,3.0,0.7,2.0,3.8,1.6,3.3,5.1,0.2,3.2,0.6,0.0,1.0,0.6
1.1. % change Ne,3.3,0.9,3.9,7.3,1.9,2.0,1.2,0.0,0.6,0.0,3.5,2.1,4.9,12.0,2.5,3.5,0.1,2.6,7.1
1.2. Geographic origin,0.0,6.0,0.0,0.0,3.0,6.0,0.0,3.0,6.0,3.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,3.0,3.0
2. Branded products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1. Conservation grazing,4.0,4.0,0.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0
2.2. Product designations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3. Adaptability and hardiness,3.3,3.3,0.0,3.3,1.7,3.3,3.3,0.0,1.7,3.3,1.7,1.7,1.7,3.3,3.3,3.3,3.3,3.3,3.3
2.4. Graze wet sites,3.3,3.3,0.0,0.0,3.3,3.3,3.3,0.0,0.0,3.3,3.3,0.0,0.0,3.3,3.3,3.3,0.0,0.0,3.3
2.5. Heat stress,1.7,3.3,1.7,1.7,3.3,1.7,0.0,1.7,1.7,3.3,1.7,1.7,1.7,1.7,3.3,1.7,1.7,1.7,1.7
3. No. embryos collections,2.5,2.0,1.2,0.0,2.5,2.5,2.5,1.2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.5,2.0
3.1. No. semen straws,1.9,2.2,2.1,0.7,1.8,2.3,2.2,0.0,2.4,2.3,0.1,1.4,1.1,2.5,1.3,0.6,1.2,0.3,0.4
3.2. No. males semen collected from,2.3,1.7,1.7,1.5,1.1,0.1,2.1,0.0,2.0,1.9,1.1,0.6,0.1,2.5,1.1,0.8,1.2,1.2,1.9
3.3. Geographical concentration,0.0,0.0,0.0,0.0,5.0,0.0,5.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,10.0
3.4. No. pedigree breeding females (PDF),3.1,6.2,7.5,7.5,0.1,0.0,3.4,7.0,3.7,2.9,6.6,4.1,1.6,0.9,3.6,6.9,7.5,6.8,7.3
3.5. No. pedigree breeding males,2.4,5.8,7.2,7.2,1.1,0.0,6.5,7.3,6.8,4.6,6.1,2.3,3.5,0.3,6.5,5.3,7.5,7.2,5.1
3.6. Five year % change to PDF,6.4,7.1,0.0,5.5,6.8,6.9,7.1,6.7,6.8,7.5,6.7,6.8,7.1,6.7,6.9,6.0,6.8,7.2,7.0
3.7. No. active herds,6.5,8.9,10.0,9.9,4.1,0.0,8.3,9.5,9.2,3.8,8.9,8.7,6.2,8.5,8.3,9.3,10.0,9.5,9.6
,,,,,,,,,,,,,,,,,,,
