Breed Score,Ne,ChangeNe,GO,BP,CG,PD,AH,GWS,HS,NEC,NSS,NMSC,GC,PDF,FDM,CPDF,AH
30-59,16.1,29.4,-0.1,-0.1,40.0,-0.1,33.3,33.3,16.7,5.0,3.8,4.6,-0.1,6.2,4.7,12.7,12.9
60-70,5.8,33.4,20.0,-0.1,40.0,-0.1,33.3,33.3,33.3,4.0,4.4,3.3,-0.1,12.3,11.6,14.2,17.8
30-59,0.6,8.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,16.7,2.3,4.2,3.3,-0.1,14.9,14.3,-0.1,20.0
30-59,0.8,17.8,-0.1,-0.1,20.0,-0.1,33.3,-0.1,16.7,-0.1,1.4,2.9,-0.1,14.9,14.3,11.0,19.7
30-59,40.0,31.2,10.0,-0.1,20.0,-0.1,16.7,33.3,33.3,5.0,3.5,2.1,10.0,0.2,2.2,13.6,8.2
30-59,19.6,33.4,20.0,-0.1,40.0,-0.1,33.3,33.3,16.7,5.0,4.6,0.2,-0.1,-0.1,-0.1,13.7,-0.1
60-70,10.0,36.4,-0.1,-0.1,40.0,-0.1,33.3,33.3,-0.1,5.0,4.4,4.2,10.0,6.8,12.9,14.2,16.6
60-70,2.3,28.4,10.0,40.0,20.0,20.0,-0.1,-0.1,16.7,2.3,-0.1,-0.1,20.0,14.0,14.5,13.4,19.0
60-70,6.7,36.2,20.0,40.0,20.0,-0.1,16.7,-0.1,16.7,5.0,4.7,4.0,-0.1,7.3,13.5,13.5,18.4
60-70,12.6,40.0,10.0,40.0,40.0,-0.1,33.3,33.3,33.3,5.0,4.6,3.8,-0.1,5.7,9.2,15.0,7.6
60-70,5.3,31.2,20.0,-0.1,40.0,-0.1,16.7,33.3,16.7,5.0,0.2,2.2,10.0,13.2,12.2,13.3,17.8
30-59,11.1,30.2,20.0,-0.1,20.0,-0.1,16.7,-0.1,16.7,5.0,2.7,1.2,-0.1,8.1,4.5,13.6,17.3
30-59,17.1,30.8,10.0,-0.1,20.0,-0.1,16.7,-0.1,16.7,5.0,2.2,0.1,-0.1,3.1,6.9,14.2,12.4
30-59,0.8,17.8,20.0,-0.1,40.0,-0.1,33.3,33.3,16.7,5.0,5.0,5.0,-0.1,1.7,0.5,13.4,16.9
60-70,10.5,33.2,20.0,-0.1,40.0,-0.1,33.3,33.3,33.3,5.0,2.5,2.2,10.0,7.2,12.9,13.7,16.6
30-59,2.1,25.4,20.0,-0.1,40.0,-0.1,33.3,33.3,16.7,4.0,1.1,1.6,-0.1,13.7,10.5,11.9,18.6
60-70,-0.1,-0.1,20.0,-0.1,40.0,-0.1,33.3,-0.1,16.7,4.0,2.4,2.4,20.0,15.0,15.0,13.6,20.0
30-59,3.2,33.6,10.0,-0.1,40.0,-0.1,33.3,-0.1,16.7,5.0,0.5,2.4,-0.1,13.5,14.3,14.4,18.9
60-70,2.1,33.8,10.0,-0.1,40.0,-0.1,33.3,33.3,16.7,4.0,0.8,3.8,20.0,14.5,10.2,14.0,19.1
