Breed Score,Ne,ChangeNe,GO,BP,CG,PD,A&H,GWS,HS,NEC,NSS,NMSC,GC,PBF,PBM,CPBF,AH
B.Galloway,4.83,3.3,0,0,8,0,6.66,6.66,3.34,2.5,1.9,2.3,0,3.1,2.35,6.35,6.45
B.White,1.74,0.87,6,0,8,0,6.66,6.66,6.66,2,2.2,1.65,0,6.15,5.8,7.1,8.9
D.Shorthorn,0.18,3.9,0,0,0,0,0,0,3.34,1.15,2.1,1.65,0,7.45,7.15,0,10
N.d.Shorthorn,0.24,7.29,0,0,4,0,6.66,0,3.34,0,0.7,1.45,0,7.45,7.15,5.5,9.85
R.R.Devon,12,1.92,3,0,4,0,3.34,6.66,6.66,2.5,1.75,1.05,5,0.1,1.1,6.8,4.1
Dexter,5.88,2.01,6,0,8,0,6.66,6.66,3.34,2.5,2.3,0.1,0,0,0,6.85,0
Galloway,3,1.23,0,0,8,0,6.66,6.66,0,2.5,2.2,2.1,5,3.4,6.45,7.1,8.3
Gloucester,0.69,0,3,8,4,4,0,0,3.34,1.15,0,0,10,7,7.25,6.7,9.5
Guernsey,2.01,0.6,6,8,4,0,3.34,0,3.34,2.5,2.35,2,0,3.65,6.75,6.75,9.2
Highland,3.78,0,3,8,8,0,6.66,6.66,6.66,2.5,2.3,1.9,0,2.85,4.6,7.5,3.8
I.Moiled,1.59,3.48,6,0,8,0,3.34,6.66,3.34,2.5,0.1,1.1,5,6.6,6.1,6.65,8.9
L.Red,3.33,2.1,6,0,4,0,3.34,0,3.34,2.5,1.35,0.6,0,4.05,2.25,6.8,8.65
Longhorn,5.13,4.86,3,0,4,0,3.34,0,3.34,2.5,1.1,0.05,0,1.55,3.45,7.1,6.2
Luing,0.24,12,6,0,8,0,6.66,6.66,3.34,2.5,2.5,2.5,0,0.85,0.25,6.7,8.45
Red.P,3.15,2.52,6,0,8,0,6.66,6.66,6.66,2.5,1.25,1.1,5,3.6,6.45,6.85,8.3
Shetland,0.63,3.48,6,0,8,0,6.66,6.66,3.34,2,0.55,0.8,0,6.85,5.25,5.95,9.3
Vaynol,0,0.09,6,0,8,0,6.66,0,3.34,2,1.2,1.2,10,7.5,7.5,6.8,10
W.Park,0.96,2.61,3,0,8,0,6.66,0,3.34,2.5,0.25,1.2,0,6.75,7.15,7.2,9.45
W.Shorthorn,0.63,7.05,3,0,8,0,6.66,6.66,3.34,2,0.4,1.9,10,7.25,5.1,7,9.55
