BreedScore1,Ne,ChangeNe,GO,BP,CG,PD,AH,GWS,HS,NEC,NSS,NMSC,GC,PBF,PBM,CPBF,NAH
B.Galloway,40,28,0,0,100,0,100,100,50,100,77,92,0,41,31,84,64
B.White,15,7,100,0,100,0,100,100,100,79,84,66,0,82,77,94,89
D.Shorthorn,1,33,0,0,0,0,0,0,50,47,84,66,0,99,95,0,100
N.d.Shorthorn,2,61,0,0,50,0,100,0,50,0,27,59,0,99,95,73,98
R.R.Devon,100,16,50,0,50,0,50,100,100,100,70,41,50,1,15,91,41
Dexter,49,17,100,0,100,0,100,100,50,100,92,3,0,0,0,92,0
Galloway,25,10,0,0,100,0,100,100,0,100,89,84,50,46,86,95,83
Gloucester,6,0,50,100,50,100,0,0,50,47,0,0,100,93,97,89,95
Guernsey,17,5,100,100,50,0,50,0,50,100,94,80,0,49,90,90,92
Highland,31,0,50,100,100,0,100,100,100,100,92,77,0,38,62,100,38
I.Moiled,13,29,100,0,100,0,50,100,50,100,4,45,50,88,81,88,89
L.Red,28,17,100,0,50,0,50,0,50,0,54,23,0,54,30,91,86
Longhorn,43,41,50,0,50,0,50,0,50,100,45,2,0,21,46,95,62
Luing,2,100,100,0,100,0,100,100,50,100,100,100,0,11,3,89,84
Red.P,26,21,100,0,100,0,100,100,100,100,49,45,50,48,86,91,83
Shetland,5,29,100,0,100,0,100,100,50,79,22,32,0,91,70,79,93
Vaynol,0,1,100,0,100,0,100,0,50,79,49,48,100,100,100,91,100
W.Park,8,22,50,0,100,0,100,0,50,100,10,48,0,90,95,96,94
W.Shorthorn,5,59,50,0,100,0,100,100,50,79,16,77,100,97,68,93,95
